100, 0.009999999776, 100, 40000, 11632, 4480
100, 0.050000000745, 501, 40000, 40056, 20248
100, 0.100000001490, 1001, 40000, 72096, 40440
100, 0.200000002980, 2001, 40000, 136096, 80824
1000, 0.009999999776, 10000, 4000000, 720032, 371104
1000, 0.050000000745, 50001, 4000000, 3280096, 2248632
1000, 0.100000001490, 100001, 4000000, 6480096, 4497208
1000, 0.200000002980, 200001, 4000000, 12880096, 8994360
10000, 0.000000010000, 1, 400000000, 176, 184
10000, 0.000000100000, 11, 400000000, 1616, 424
10000, 0.000001000000, 100, 400000000, 14352, 4480
100000, 0.000000001000, 10, 40000000000, 1472, 400
100000, 0.000000010000, 100, 40000000000, 14432, 4480
100000, 0.000000100000, 1001, 40000000000, 143776, 40440
1000000, 0.000000000100, 101, 4000000000000, 14576, 4504
1000000, 0.000000001000, 1000, 4000000000000, 143992, 40416
1000000, 0.000000010000, 10000, 4000000000000, 1436432, 371104